,YauTsimMong,TheKimberleyHotel,28/01/2021,10347,YauTsimMong,PioneerCentreVictoriaHarbourRestaurant,04/01/2021,"8069,8442,8827,8847,9118",Unnamed:0,Unnamed:1,Unnamed:2,"7569,7688,7756,7771,8042,8128,8270,8414,8478,8479,8506,8763,8837,9261,9384",KwaiTsing,BlockAMarvelIndustrialBuilding,15/01/2021,"9496,9530,9557",Eastern,GreenwoodTerraceCommercialComplexSinoKitchem,9617,Central&Western,GageStreetRefuseCollectionPoint,16/01/2021,9660,ShekYamShoppingCentreMingHarbourRestaurant,17/01/2021,9733,TsuenWan,NamFungCentre,18/01/2021,"9572,9842,9843",Southern,PuiTakCanossianCollege,19/01/2021,10054,TuenMun,PoLeungKukHongKongTaoistAssociationYuenYuenPrimarySchool,9981,YuenLong,G/FYuenLongStation,20/01/2021,YikHonBuilding,21/01/2021,10237,G/FTower1MagnetPlaceCaféDeCoral,22/01/2021,10213,TaiPo,G/FEightlandGardensEightlandCafe,23/01/2021,10173,Islands,HongKongMarket-YatTung,24/01/2021,10155,ChungSingBenevolentSociety-TinKaPingDayCareCentrefortheElderly,25/01/2021,10238,Phase2FortuneKingswoodChinaLandRestaurant,26/01/2021,10278,TheKimberleyHotel,28/01/2021,10347
908,,,,,Sham Shui Po,Cheung Sha Wan Plaza Tower 2,08/01/2021,"9270, 9283",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,,,,,Yuen Long,T Town,09/01/2021,"8096, 8482, 9385",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,,,,,Kwai Tsing,Tsing Yi Ambulance Depot,09/01/2021,"9206, 9257, 9300, 9334, 9344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,Kwun Tong,On Tai Shopping Centre,09/01/2021,"9261, 9265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,,,,,Kowloon City,Ching Long Shopping Centre,10/01/2021,"6374, 6959, 6992, 8556, 8728, 8814, 9120, 9121, 9388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,,,,,Tsuen Wan,Yeung Uk Road Market,10/01/2021,"6683, 7060, 7208, 7460, 7655, 9108, 9250, 9363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,,,,,Sham Shui Po,Po On Road Municipal Services Building,10/01/2021,"8438, 8944, 9090, 9394",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,,,,,Kwun Tong,Block 5 Laguna City,10/01/2021,"9374, 9403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,,,,,Wong Tai Sin,Ngau Chi Wan Municipal Services Building,11/01/2021,"6882, 7028, 7113, 7439,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,,,,,,,,,Kwai Tsing,Princess Margaret Hospital,11/01/2021,"8937, 9034, 9036, 9037, 9038, 9265, 9343, 9361",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,,,,,,,,,Sai Kung,MCP Discovery Euphoric Banquet,12/01/2021,"8127, 8162, 9413",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,,,,,,,,,Tsuen Wan,Kolour Tsuen Wan,13/01/2021,"9319, 9530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,,,,,,,,,Tsuen wan,Chan Kee Plaza,13/01/2021,"9533, 9534",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,,,,,,,,,Wong Tai Sin,Temple Mall North,14/01/2021,"7387, 7958, 8812, 9592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,,,,,,,,,Kwai Tsing,Metroplaza,14/01/2021,"7991, 8394, 8579, 9664",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,,,,,,,,,Sham Shui Po,Ka Wui Building Tim Ho Wan the Dim-Sum Specialists,14/01/2021,"9137, 9498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,,,,,,,,,Sha Tin,New Town Tower,14/01/2021,"9569, 9570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,,,,,,,,,Kwai Tsing,G/F Kwai Hing Estate Hing Lok House,14/01/2021,"9594, 9639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,,,,,,,,,Wong Tai Sin,Lung Lok House Lower Wong Tai Sin Estate,15/01/2021,10054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,,,,,,,,,Eastern,Kornhill Plaza (South),15/01/2021,10279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,,,,,,,,,Tuen Mun,Leung King Plaza,15/01/2021,"7884, 8521, 8689, 9653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,,,,,,,,,Eastern,G/F Gold Mine Building,15/01/2021,"9081, 9526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,,,,,,,,,Kowloon City,Hong Kong Baptist Hospital,15/01/2021,"9138, 9542",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,,,,,,,,,Wong Tai Sin,Kai Tak Garden Shopping Arcade,15/01/2021,"9143, 9174, 9974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,,,,,,,,,Yau TsimMong,Pak Shing Building Café de Coral,15/01/2021,"9374, 9647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,,,,,,,,,Kowloon City,On Tai Mansion,15/01/2021,"9487, 9488, 9529, 9547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,,,,,,,,,,,,,Yuen Long,Hung Fuk Shopping Centre,15/01/2021,9499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,,,,,,,,,,,,,North,Sheung Shui Slaughterhouse,15/01/2021,9499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,,,,,,,,,,,,,Eastern,Hing Wah Plaza Fairwood,15/01/2021,9537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,,,,,,,,,,,,,Wan Chai,Hong Kong Sanatorium & Hospital,15/01/2021,9538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,,,,,,,,,,,,,Yau TsimMong,G/F 58 Reclamation street,15/01/2021,9549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,,,,,,,,,,,,,Yau TsimMong,Battery Street Public Toilet,15/01/2021,"9552, 9553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,,,,,,,,,,,,,Yau TsimMong,Gascoigne Road Public Toilet,15/01/2021,"9552, 9553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,,,,,,,,,,,,,Yau TsimMong,Jordan Road Public Toilet,15/01/2021,"9552, 9553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,,,,,,,,,,,,,Yau TsimMong,Lin Cheung Road Public Toilet,15/01/2021,"9552, 9553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,,,,,,,,,,,,,Yau TsimMong,Market Street Public Toilet,15/01/2021,"9552, 9553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,,,,,,,,,,,,,Yau TsimMong,Shanghai Street/Waterloo Road Public Toilet,15/01/2021,"9552, 9553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,,,,,,,,,,,,,Yau TsimMong,Yau Ma Tei Market Public Toilet,15/01/2021,"9552, 9553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,,,,,,,,,,,,,Yau TsimMong,47-49 Parkes Street Australia Dairy Company,15/01/2021,9572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,,,,,,,,,,,,,Sha Tin,G/F Carado Garden,15/01/2021,"9594, 9595",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,,,,,,,,,,,,,Sha Tin,64 Chui Tin Street,15/01/2021,9597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,,,,,,,,,,,,,Sha Tin,Shatin Industrial Centre,15/01/2021,9600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,,,,,,,,,,,,,Yau TsimMong,35 Portland Street Gathering Kitchen,15/01/2021,9602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,,,,,,,,,,,,,Yau TsimMong,Rightful Centre,15/01/2021,9602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,,,,,,,,,,,,,Yau TsimMong,Tung Chun Commercial Centre,15/01/2021,"9606, 9753",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,,,,,,,,,,,,,Kowloon City,United Building MUTSUKI,15/01/2021,9610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,,,,,,,,,,,,,Yuen Long,Block 13 Locwood Court,15/01/2021,9613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,,,,,,,,,,,,,Yuen Long,Kingswood Richly Plaza Daniel's Restaurant,15/01/2021,9613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,,,,,,,,,,,,,,,15/01/2021,,Kwun Tong,Kwun Tong Harbour Plaza,9628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,,,,,,,,,,,,,,,15/01/2021,,Kwun Tong,Lu Plaza HOPA House,9628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,,,,,,,,,,,,,,,15/01/2021,,Yau TsimMong,G/F Yen Yin Building,9651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,,,,,,,,,,,,,,,15/01/2021,,Wan Chai,Jade House,9665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,,,,,,,,,,,,,,,15/01/2021,,Yau TsimMong,238 Nathan Road,9694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,,,,,,,,,,,,,,,15/01/2021,,Yau TsimMong,Man Wai Building,9695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,,,,,,,,,,,,,,,15/01/2021,,Yau TsimMong,Ka Wing Building Ho Choi Seafood Restaurant,9701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,,,,,,,,,,,,,,,15/01/2021,,Kwun Tong,Mai Tak Industrial Building,9719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,,,,,,,,,,,,,,,15/01/2021,,Kwun Tong,Mai Tak Industrial Building 美德茶餐 廳,9719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,,,,,,,,,,,,,,,15/01/2021,,Sha Tin,Kinglet Industrial Building,9728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,,,,,,,,,,,,,,,15/01/2021,,Yuen Long,+WOO Phase One,9855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,,,,,,,,,,,,,,,16/01/2021,,Wan Chai,93 Lockhart Road Agave Wan Chai,10104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,,,,,,,,,,,,,,,16/01/2021,,Kwai Tsing,North Kwai Chung Market,10130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,,,,,,,,,,,,,,,16/01/2021,,Yuen Long,Long Ping Commercial Centre,"8987, 9558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,,,,,,,,,,,,,,,16/01/2021,,Eastern,Chai Wan Municipal Services Building,9526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,,,,,,,,,,,,,,,16/01/2021,,Yau TsimMong,G/F Kam Shan Building,9527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,,,,,,,,,,,,,,,16/01/2021,,Tsuen Wan,Tsuen Fung Centre,"9550, 9600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,,,,,,,,,,,,,,,16/01/2021,,Yuen Long,Long Ping Commercial Centre McDonald's,9558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,,,,,,,,,,,,,,,16/01/2021,,Yau TsimMong,Kam Wah Building,9607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,,,,,,,,,,,,,,,16/01/2021,,Yuen Long,Po Fung Building,9609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,,,,,,,,,,,,,,,16/01/2021,,Sai Kung,18 Chun Yat Street,9616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,,,,,,,,,,,,,,,16/01/2021,,Eastern,G/F Hiu Fung House,9620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,,,,,,,,,,,,,,,16/01/2021,,Eastern,G/F Wah Tai Mansion,9620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,,,,,,,,,,,,,,,16/01/2021,,Yau TsimMong,Shing Hing House New Forest Restaurant,9647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,,,,,,,,,,,,,,,16/01/2021,,Yuen Long,Kit Man House,9654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,,,,,,,,,,,,,,,16/01/2021,,Tsuen Wan,Allway Gardens Block H,9657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,,,,,,,,,,,,,,,,,,,,Yau TsimMong,Immigration Office - West Kowloon Office,16/01/2021,9660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,,,,,,,,,,,,,,,,,,,,Kwai Tsing,Lai King Estate Market,16/01/2021,9664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,,,,,,,,,,,,,,,,,,,,Islands,Tin Tak House Lung Tin Estate,16/01/2021,9701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,,,,,,,,,,,,,,,,,,,,Yau TsimMong,G/F Manson House,16/01/2021,9707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,,,,,,,,,,,,,,,,,,,,Wan Chai,7 Mallory Street,16/01/2021,9718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,,,,,,,,,,,,,,,,,,,,Eastern,Kornhill Plaza Office Tower,16/01/2021,9728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,,,,,,,,,,,,,,,,,,,,Kowloon City,G/F Willow Mansions Whampoa Garden,16/01/2021,"9742, 9743",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,,,,,,,,,,,,,,,,,,,,Yau TsimMong,594-596 Nathan Road Red Tea,16/01/2021,9850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,,,,,,,,,,,,,,,,,,,,Tsuen Wan,G/F Block 2 Lei Muk Shue Estate,16/01/2021,9908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,,,,,,,,,,,,,,,,,,,,Yau TsimMong,Chungking Mansions,16/01/2021,9947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,,,,,,,,,,,,,,,,,,,,Eastern,Fok Cheong Building,16/01/2021,9973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,,,,,,,,,,,,,,,,,,,,Wan Chai,Starlight Garden,16/01/2021,9976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,,,,,,,,,,,,,,,,,,,,Islands,9 Chi Yan Street,17/01/2021,10001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,,,,,,,,,,,,,,,,,,,,Sai Kung,TKO Gateway Momoku,17/01/2021,10057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,,,,,,,,,,,,,,,,,,,,Yau TsimMong,Argyle Centre,17/01/2021,"8063, 8467, 8917, 9823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,,,,,,,,,,,,,,,,,,,,Kowloon City,Central Kowloon Route - Central Tunnel,17/01/2021,"9152, 9221, 9222, 9223, 9224, 9227, 9230, 9263, 9407, 9702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,,,,,,,,,,,,,,,,,,,,Yau TsimMong,24 Battery Street,17/01/2021,9632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,,,,,,,,,,,,,,,,,,,,Yau TsimMong,Harbourfront Horizon All-Suite Hotel,17/01/2021,"9646, 9785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,,,,,,,,,,,,,,,,,,,,Southern,Cyberport 4,17/01/2021,9647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,,,,,,,,,,,,,,,,,,,,Kowloon City,Celestial Place Supreme Cuisine 21,17/01/2021,9685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,,,,,,,,,,,,,,,,,,,,Yau TsimMong,830 Canton Road 大安茶冰廳,17/01/2021,9701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,,,,,,,,,,,,,,,,,,,,Yau TsimMong,Camy House,17/01/2021,9731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,,,,,,,,,,,,,Wan Chai,,,,,,,,,,,Jardine Center Hungry Korean,17/01/2021,9753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,,,,,,,,,,,,,Wan Chai,,,,,,,,,,,Luard Road Refuse Collection Point,17/01/2021,9755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,,,,,,,,,,,,,Yau TsimMong,,,,,,,,,,,23 Soy Street 四寶食堂,17/01/2021,"9777, 9778",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,,,,,,,,,,,,,Yau TsimMong,,,,,,,,,,,Olympian City Two Modern China Restaurant,17/01/2021,9790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,,,,,,,,,,,,,Yau TsimMong,,,,,,,,,,,G/F Best-O-Best Commercial Centre,17/01/2021,9803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,,,,,,,,,,,,,Yuen Long,,,,,,,,,,,Yee Fung Garden Kahee Japanese Restaurant,17/01/2021,"9813, 9817",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,,,,,,,,,,,,,Kwun Tong,,,,,,,,,,,Amoy Plaza Viet's Choice,17/01/2021,9823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,,,,,,,,,,,,,Yau TsimMong,,,,,,,,,,,Bank Centre Mall,17/01/2021,9823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,,,,,,,,,,,,,Yau TsimMong,,,,,,,,,,,Ho King Commercial Centre,17/01/2021,9823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,,,,,,,,,,,,,Yau TsimMong,,,,,,,,,,,Sino Centre,17/01/2021,9823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,,,,,,,,,,,,,Kwun Tong,,,,,,,,,,,TBG Mall,17/01/2021,9823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,,,,,,,,,,,,,Yau TsimMong,,,,,,,,,,,Coronation Circle,17/01/2021,9828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,,,,,,,,,,,,,Kwun Tong,,,,,,,,,,,Laguna Plaza Ho Yin Seafood Restaurant,17/01/2021,9831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,,,,,,,,,,,,,Kwai Tsing,,,,,,,,,,,On Yam Shopping Centre Grand Restaurant,17/01/2021,9843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,,,,,,,,,,,,,Sham Shui Po,,,,,,,,,,,Cullinan West,17/01/2021,9860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,,,,,,,,,,,,,Yau TsimMong,,,,,,,,,,,G/F Camy House,17/01/2021,9879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,,,,,,,,,,,,,Tsuen Wan,,,,,,,,,,,Lik Sang Plaza,17/01/2021,9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,,,,,,,,,,,,,Tsuen Wan,,,,,,,,,,,Lik Sang Plaza Jollibee,17/01/2021,9894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,,,,,,,,,,,,,Eastern,,,,,,,,,,,Wo Hing House Hing Wah (II) Estate Hing Wah Restaurant,17/01/2021,9941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,,,,,,,,,,,,,Eastern,,,,,,,,,,,Fortress Tower,17/01/2021,9971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,,,,,,,,,,,,,Sham Shui Po,,,,,,,,,,,308 Lai Chi Kok Road,18/01/2021,10223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,,,,,,,,,,,,,Central &Western,,,,,,,,,,,The Landmark,18/01/2021,"9471, 9828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,,,,,,,,,,,,,,,,,,,,,,,,,,,Yau TsimMong,Xing Hua Centre,18/01/2021,9701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,,,,,,,,,,,,,,,,,,,,,,,,,,,Central &Western,Citic Tower Arima Restaurant,18/01/2021,9711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsuen Wan,Block R Luk Yeung Sun Chuen,18/01/2021,9734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,,,,,,,,,,,,,,,,,,,,,,,,,,,Yau TsimMong,Bowring Commercial Centre,18/01/2021,9750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,,,,,,,,,,,,,,,,,,,,,,,,,,,Yau TsimMong,199 Reclamation Street,18/01/2021,9762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,,,,,,,,,,,,,,,,,,,,,,,,,,,Central &Western,105 Jervois Street Sushi Masa,18/01/2021,9790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,,,,,,,,,,,,,,,,,,,,,,,,,,,Central &Western,Shun Tak Centre West Tower,18/01/2021,9790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwun Tong,Harbourside HQ,18/01/2021,9829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,,,,,,,,,,,,,,,,,,,,,,,,,,,Yau TsimMong,iSQUARE Joyous Gate,18/01/2021,9829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,,,,,,,,,,,,,,,,,,,,,,,,,,,Yau TsimMong,Lee Chung Industrial Building,18/01/2021,9829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,,,,,,,,,,,,,,,,,,,,,,,,,,,Sham Shui Po,Delia Memorial School (Glee Path),18/01/2021,9853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuen Mun,Waldof Shopping Arcade 雲南小鍋米 線,18/01/2021,9854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,,,,,,,,,,,,,,,,,,,,,,,,,,,Islands,Hong Kong International Airport Terminal 1,18/01/2021,9855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,,,,,,,,,,,,,,,,,,,,,,,,,,,Yau TsimMong,In's Point Ho Choi Seafood Restaurant,18/01/2021,"9860, 9914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,,,,,,,,,,,,,,,,,,,,,,,,,,,Sai Kung,Monterey Place,18/01/2021,9883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,,,,,,,,,,,,,,,,,,,,,,,,,,,Central &Western,Exchange Square,18/01/2021,9887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,,,,,,,,,,,,,,,,,,,,,,,,,,,Yuen Long,Tower 5 The Spectra,18/01/2021,9888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern,G/F Bo Shing Court Jumbo Hainanese Chicken,18/01/2021,9971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsuen Wan,MTR Tsuen Wan Depot,18/01/2021,9972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,,,,,,,,,,,,,,,,,,,,,,,,,,,Yuen Long,Hung Fuk Wet Market,18/01/2021,9981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,,,,,,,,,,,,,,,,,,,,,,,,,,,Sai Kung,Park Central,19/01/2021,10038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
